Number,Title,Year,Runtime,Genre,Rating,Budget,Votes,Metascore
215,Hotel Transylvania,-2012,91 min,Animation -  Adventure -  Comedy,7,"$85,000,000 ",264791,47
216,Blade,-2024,,Action -  Adventure -  Fantasy,,,,
217,Mr. Nobody,-2009,141 min,Drama -  Fantasy -  Romance,7.7,"$47,000,000 ",238477,63
218,Dungeons & Dragons,-2000,107 min,Action -  Adventure -  Fantasy,3.6,"$45,000,000 ",34881,14
219,Conan the Destroyer,-1984,103 min,Action -  Adventure -  Fantasy,5.9,"$18,000,000 ",82505,53
220,Constantine 2,,,Action -  Fantasy -  Horror,,"$150,000 ",,
221,Big Fish,-2003,125 min,Adventure -  Drama -  Fantasy,8,"$70,000,000 ",447452,58
222,Mary Poppins,-1964,139 min,Comedy -  Family -  Fantasy,7.8,"$6,000,000 ",177958,88
223,Fantastic Beasts and Where to Find Them,-2016,132 min,Adventure -  Family -  Fantasy,7.2,"$180,000,000 ",487091,66
224,The Secret Life of Walter Mitty,-2013,114 min,Adventure -  Comedy -  Drama,7.3,"$90,000,000 ",325800,54
225,The Twilight Saga: Breaking Dawn - Part 2,-2012,115 min,Adventure -  Drama -  Fantasy,5.5,"$120,000,000 ",254053,52
226,Perfume: The Story of a Murderer,-2006,147 min,Crime -  Drama -  Fantasy,7.5,"$60,000,000 ",257177,56
227,Beauty and the Beast,-1991,84 min,Animation -  Family -  Fantasy,8,"$25,000,000 ",463215,95
228,Field of Dreams,-1989,107 min,Drama -  Family -  Fantasy,7.5,"$15,000,000 ",122547,57
229,The Holy Mountain,-1973,114 min,Adventure -  Drama -  Fantasy,7.8,"$750,000 ",45161,76
230,The Hobbit: The Desolation of Smaug,-2013,161 min,Fantasy,7.8,"$225,000,000 ",677435,66
231,Jungle Cruise,-2021,127 min,Action -  Adventure -  Comedy,6.6,"$200,000,000 ",198696,50
232,Toy Story 3,-2010,103 min,Animation -  Adventure -  Comedy,8.3,"$200,000,000 ",852519,92
233,Pinocchio,-2022,105 min,Adventure -  Comedy -  Drama,5,"$150,000,000 ",38416,38
234,Enter the Void,-2009,161 min,Drama -  Fantasy,7.2,"$16,000,000 ",83665,69
235,Midnight in Paris,-2011,94 min,Comedy -  Fantasy -  Romance,7.7,"$17,000,000 ",433791,81
236,Monty Python and the Holy Grail,-1975,91 min,Adventure -  Comedy -  Fantasy,8.2,"£229,575",550553,91
237,Edward Scissorhands,-1990,105 min,Drama -  Fantasy -  Romance,7.9,"$20,000,000 ",501678,74
238,R.I.P.D.,-2013,96 min,Action -  Adventure -  Comedy,5.6,"$130,000,000 ",139307,25
239,How to Train Your Dragon: The Hidden World,-2019,104 min,Animation -  Action -  Adventure,7.4,"$129,000,000 ",137212,71
