Number,Title,Year,Runtime,Genre,Rating,Budget,Gross US & Canada,Votes,Metascore
109.,RED,(2010),111 min,Action -  Comedy -  Crime,7.0,"$58,000,000","90,380,162",315142,60
110.,Taken 2,(2012),92 min,Action -  Crime -  Thriller,6.2,"$45,000,000","139,854,287",313217,45
111.,Batman Returns,(1992),126 min,Action -  Crime -  Fantasy,7.1,"$80,000,000","162,831,698",313039,68
112.,The Transporter,(2002),92 min,Action -  Crime -  Thriller,6.8,"$21,000,000","25,296,447",310210,51
113.,Public Enemies,(2009),140 min,Action -  Biography -  Crime,7.0,"$100,000,000","97,104,620",309243,70
114.,Con Air,(1997),115 min,Action -  Crime -  Thriller,6.9,"$75,000,000","101,117,573",307443,52
115.,Law Abiding Citizen,(2009),109 min,Action -  Crime -  Drama,7.4,"$50,000,000","73,343,413",305760,34
116.,The Fugitive,(1993),130 min,Action -  Crime -  Drama,7.8,"$44,000,000","183,875,760",303937,87
117.,Now You See Me 2,(2016),129 min,Action -  Adventure -  Comedy,6.4,"$90,000,000","65,075,540",302123,46
118.,Uncut Gems,(2019),135 min,Crime -  Drama -  Thriller,7.4,"$19,000,000",,295552,91
119.,Fast & Furious,(2009),107 min,Action -  Crime -  Thriller,6.5,"$85,000,000","155,064,265",295022,46
120.,Panic Room,(2002),112 min,Crime -  Drama -  Thriller,6.8,"$48,000,000","96,397,334",285980,65
121.,Gone in 60 Seconds,(2000),118 min,Action -  Crime -  Thriller,6.5,"$90,000,000","101,648,571",285290,35
122.,Don't Breathe,(2016),88 min,Crime -  Horror -  Thriller,7.1,"$9,900,000","89,217,875",284795,71
123.,Hannibal,(2001),131 min,Crime -  Drama -  Thriller,6.8,"$87,000,000","165,092,268",282257,57
124.,Nobody,(I) (2021),92 min,Action -  Crime -  Drama,7.4,"$16,000,000","27,268,035",282047,64
125.,Dredd,(2012),95 min,Action -  Crime -  Sci-Fi,7.1,"$50,000,000","13,414,714",281974,60
126.,2 Fast 2 Furious,(2003),107 min,Action -  Crime -  Thriller,5.9,"$76,000,000","127,154,901",281381,38
127.,Red Dragon,(2002),124 min,Crime -  Drama -  Thriller,7.2,"$78,000,000","93,149,898",280754,60
128.,The Fast and the Furious: Tokyo Drift,(2006),104 min,Action -  Crime -  Thriller,6.0,"$85,000,000","62,514,415",280740,45
129.,Gone Baby Gone,(2007),114 min,Crime -  Drama -  Mystery,7.6,"$19,000,000","20,300,218",279659,72
130.,Kick-Ass 2,(2013),103 min,Action -  Comedy -  Crime,6.5,"$28,000,000","28,795,985",279343,41
131.,Rush Hour,(1998),98 min,Action -  Comedy -  Crime,7.0,"$33,000,000","141,153,686",278388,60
132.,The Other Guys,(2010),107 min,Action -  Comedy -  Crime,6.6,"$100,000,000","119,219,978",276730,64
133.,The Place Beyond the Pines,(2012),140 min,Crime -  Drama -  Thriller,7.3,"$15,000,000","21,383,298",276492,68
134.,Phone Booth,(2002),81 min,Crime -  Thriller,7.1,"$13,000,000","46,566,212",275791,56
135.,Road to Perdition,(2002),117 min,Crime -  Drama -  Thriller,7.7,"$80,000,000","104,454,762",275412,72
136.,Megamind,(2010),95 min,Animation -  Action -  Comedy,7.3,"$130,000,000","148,415,853",274944,63
137.,Bad Boys,(1995),119 min,Action -  Comedy -  Crime,6.8,"$19,000,000","65,807,024",274183,41
138.,BlacKkKlansman,(2018),135 min,Biography -  Comedy -  Crime,7.5,"$15,000,000","49,275,340",273134,83
139.,The Sting,(1973),129 min,Comedy -  Crime -  Drama,8.3,"$5,500,000","159,600,000",269035,83
140.,Murder on the Orient Express,(2017),114 min,Crime -  Drama -  Mystery,6.5,"$55,000,000","102,826,543",268008,52
141.,RoboCop,(1987),102 min,Action -  Crime -  Sci-Fi,7.6,"$13,000,000","53,424,681",266768,70
142.,Blow,(2001),124 min,Biography -  Crime -  Drama,7.5,"$53,000,000","52,990,775",266491,52
143.,Lethal Weapon,(1987),109 min,Action -  Crime -  Thriller,7.6,"$15,000,000","65,207,127",265796,68
144.,El Camino: A Breaking Bad Movie,(2019),122 min,Action -  Crime -  Drama,7.3,"$6,000,000",,265656,72
145.,Seven Psychopaths,(2012),110 min,Comedy -  Crime,7.1,"$15,000,000","15,024,049",265489,66
146.,Dog Day Afternoon,(1975),125 min,Biography -  Crime -  Drama,8.0,"$1,800,000","50,000,000",263201,86
147.,Wind River,(2017),107 min,Crime -  Drama -  Mystery,7.7,"$11,000,000","33,800,859",261636,73
148.,Changeling,(2008),141 min,Biography -  Crime -  Drama,7.8,"$55,000,000","35,739,802",259587,63
149.,Chappie,(2015),120 min,Action -  Crime -  Drama,6.8,"$49,000,000","31,569,268",258878,41
150.,21,(2008),123 min,Crime -  Drama -  History,6.8,"$35,000,000","81,159,365",258233,48
151.,Focus,(II) (2015),105 min,Comedy -  Crime -  Drama,6.6,"$50,100,000","53,862,963",258215,56
152.,RocknRolla,(2008),114 min,Action -  Crime -  Thriller,7.2,"$18,000,000","5,694,401",258183,53
